rule,valid_candidate_count,examples
ly_strip,2423,abaxially->abaxial | abjectly->abject | abnormally->abnormal | abortively->abortive | abruptly->abrupt | absently->absent | absentmindedly->absentminded | absolutely->absolute | abstemiously->abstemious | abstractedly->abstracted | abstractly->abstract | abstrusely->abstruse
ness_strip,1583,abdominousness->abdominous | abrasiveness->abrasive | abruptness->abrupt | absentmindedness->absentminded | absoluteness->absolute | abstemiousness->abstemious | abstractedness->abstracted | abstractness->abstract | abstruseness->abstruse | absurdness->absurd | acceptableness->acceptable | acidulousness->acidulous
ing_strip,1376,abducting->abduct | abounding->abound | absorbing->absorb | accenting->accent | accepting->accept | accompanying->accompany | according->accord | accounting->account | acting->act | adducting->adduct | admonishing->admonish | affecting->affect
er_strip,1337,absconder->abscond | abseiler->abseil | absorber->absorb | abstainer->abstain | abstracter->abstract | adapter->adapt | adder->add | adjuster->adjust | admonisher->admonish | adopter->adopt | affirmer->affirm | after->aft
ed_strip,1096,abandoned->abandon | abashed->abash | abscessed->abscess | absorbed->absorb | abstracted->abstract | accented->accent | accepted->accept | accomplished->accomplish | accoutered->accouter | accredited->accredit | accustomed->accustom | acquainted->acquaint
ed_add_e,995,abbreviated->abbreviate | ablated->ablate | abridged->abridge | absolved->absolve | abused->abuse | accelerated->accelerate | accoutred->accoutre | accrued->accrue | accumulated->accumulate | accursed->accurse | accused->accuse | acknowledged->acknowledge
er_add_e,798,abjurer->abjure | abrader->abrade | abridger->abridge | absolver->absolve | abuser->abuse | accuser->accuse | achiever->achieve | acquirer->acquire | adducer->adduce | admirer->admire | adorer->adore | advancer->advance
ing_add_e,765,abiding->abide | accommodating->accommodate | accusing->accuse | aching->ache | acquiring->acquire | activating->activate | actuating->actuate | adducing->adduce | adoring->adore | adulterating->adulterate | advancing->advance | advertising->advertise
s_strip,747,abcs->abc | acoustics->acoustic | acres->acre | acrobatics->acrobatic | acts->act | adams->adam | adps->adp | aerobics->aerobic | aerodynamics->aerodynamic | aeromechanics->aeromechanic | aeronautics->aeronautic | aesthetics->aesthetic
iness_to_y,399,airiness->airy | airworthiness->airworthy | angriness->angry | arbitrariness->arbitrary | balkiness->balky | balminess->balmy | bawdiness->bawdy | beastliness->beastly | bitchiness->bitchy | blameworthiness->blameworthy | bloodiness->bloody | bloodthirstiness->bloodthirsty
er_undouble,279,abetter->abet | abhorrer->abhor | abutter->abut | adder->ad | backslapper->backslap | bagger->bag | banner->ban | batter->bat | bedder->bed | bedsitter->bedsit | begetter->beget | beginner->begin
ily_to_y,224,airily->airy | angrily->angry | arbitrarily->arbitrary | balmily->balmy | bawdily->bawdy | bloodily->bloody | bodily->body | bonnily->bonny | breezily->breezy | busily->busy | cagily->cagy | cannily->canny
ing_undouble,214,appalling->appal | bagging->bag | banning->ban | barring->bar | batting->bat | bedding->bed | befitting->befit | begging->beg | beginning->begin | belling->bel | betting->bet | bidding->bid
ed_undouble,146,acquitted->acquit | allotted->allot | appalled->appal | banned->ban | barred->bar | barrelled->barrel | bedded->bed | bedimmed->bedim | befogged->befog | besotted->besot | bibbed->bib | blebbed->bleb
ied_to_y,97,accompanied->accompany | allied->ally | applied->apply | atrophied->atrophy | balconied->balcony | beatified->beatify | bellied->belly | berried->berry | bodied->body | bountied->bounty | buried->bury | busybodied->busybody
es_strip,65,acrobates->acrobat | actinomycetales->actinomycetal | aides->aid | anseres->anser | bacteroides->bacteroid | bayes->bay | bootes->boot | breeches->breech | caribees->caribe | ceres->cer | clothes->cloth | clutches->clutch
ier_to_y,58,amplifier->amplify | applier->apply | bustier->busty | carrier->carry | classifier->classify | collier->colly | complexifier->complexify | copier->copy | crier->cry | croupier->croupy | currier->curry | dallier->dally
ies_to_y,28,abies->aby | alleghenies->allegheny | allies->ally | amenities->amenity | authorities->authority | canaries->canary | contemporaries->contemporary | eighties->eighty | fifties->fifty | flies->fly | follies->folly | formalities->formality
est_strip,22,dearest->dear | digest->dig | disinterest->disinter | earnest->earn | eldest->eld | everest->ever | fastest->fast | fewest->few | greatest->great | incest->inc | interest->inter | latest->lat
est_add_e,9,closest->close | congest->conge | divest->dive | forest->fore | honest->hone | ingest->inge | latest->late | modest->mode | molest->mole
est_undouble,2,arrest->ar | attest->at
iest_to_y,2,earliest->early | priest->pry
